"ID","Maturity","compound","abundance"
"BXD0003","mature","B.CDE",0.0643492579599796
"BXD0003","mature","Brominated.anisole",0.0823443440680658
"BXD0003","mature","Brominated.indole",0.087119768135596
"BXD0003","mature","Chlordane.related",2.1589333391747
"BXD0003","mature","Chlorinated.benzene",-0.0690753838195718
"BXD0003","mature","Chlorinated.styrene",0.0953157909267924
"BXD0003","mature","Chlorobenzaldehyde",0
"BXD0003","mature","DDT.related",9.803948633
"BXD0003","mature","Dichlorobenzophenone",0
"BXD0003","mature","DMBP",3.500431526
"BXD0003","mature","HCH.related",0.864981172049427
"BXD0003","mature","Heptachlor.related",0.440666785678249
"BXD0003","mature","MBP",0.775028454
"BXD0003","mature","MeO.B.CDE",0.0716296237600059
"BXD0003","mature","MeO.BDE",-2.12757017311031
"BXD0003","mature","MeO.PBB",0.038752612
"BXD0003","mature","Methylenebistrichloroanisole",0.563674774138421
"BXD0003","mature","Methylsulfonyl.PCB",0.0997540074382979
"BXD0003","mature","Mirex.related",0.529283221
"BXD0003","mature","PBB",0.272298075645055
"BXD0003","mature","PBDE",2.38600430909083
"BXD0003","mature","PBHD",0.44088662488218
"BXD0003","mature","Pyrrolidinecarbonyl.chloride",0
"BXD0003","mature","TCPM",1.5442977432493
"BXD0003","mature","TCPMOH",1.33486613104998
"BXD0003","mature","Unknown",0.353674368
"BXD0003","mature","Unknown.2",0.664170268078902
"BXD0003","mature","Unknown.3",-4.77002997079815
"BXD0003","mature","Unknown.4",0.071763423
"BXD0003","mature","Unknown.5",0
"BXD0003","mature","Unknown.6",0.0436221274125873
"BXD0003","mature","Unknown.7",0.108670607801742
"BXD0003","mature","Unknown.8",0.648138556945967
"BXD0036","mature","B.CDE",0
"BXD0036","mature","Brominated.anisole",0.124313671814487
"BXD0036","mature","Brominated.indole",0
"BXD0036","mature","Chlordane.related",0.821604558775084
"BXD0036","mature","Chlorinated.benzene",-0.0744476650735986
"BXD0036","mature","Chlorinated.styrene",0
"BXD0036","mature","Chlorobenzaldehyde",0.386028017117929
"BXD0036","mature","DDT.related",6.484795628
"BXD0036","mature","Dichlorobenzophenone",0
"BXD0036","mature","DMBP",3.79911143
"BXD0036","mature","HCH.related",1.09966100549215
"BXD0036","mature","Heptachlor.related",0
"BXD0036","mature","MBP",0.07460717
"BXD0036","mature","MeO.B.CDE",0.0982404550070896
"BXD0036","mature","MeO.BDE",-2.05496029191282
"BXD0036","mature","MeO.PBB",0.080470818
"BXD0036","mature","Methylenebistrichloroanisole",0.416233281946555
"BXD0036","mature","Methylsulfonyl.PCB",0
"BXD0036","mature","Mirex.related",0.436767968
"BXD0036","mature","PBB",0.1431988896605
"BXD0036","mature","PBDE",1.5550905099061
"BXD0036","mature","PBHD",0.311965525338939
"BXD0036","mature","Pyrrolidinecarbonyl.chloride",0
"BXD0036","mature","TCPM",0.91615640005204
"BXD0036","mature","TCPMOH",-0.0473665897824482
"BXD0036","mature","Unknown",0.353902736
"BXD0036","mature","Unknown.2",0.406710522362036
"BXD0036","mature","Unknown.3",-5.33542460266814
"BXD0036","mature","Unknown.4",0.04329175
"BXD0036","mature","Unknown.5",0.166363090858519
"BXD0036","mature","Unknown.6",0
"BXD0036","mature","Unknown.7",0.0717334022614291
"BXD0036","mature","Unknown.8",0.295189205425944
"CXG0035","immature","B.CDE",0
"CXG0035","immature","Brominated.anisole",0.0649577939896361
"CXG0035","immature","Brominated.indole",0.12498635925572
"CXG0035","immature","Chlordane.related",1.27192959946689
"CXG0035","immature","Chlorinated.benzene",0.201773765674628
"CXG0035","immature","Chlorinated.styrene",0
"CXG0035","immature","Chlorobenzaldehyde",0
"CXG0035","immature","DDT.related",4.342030162
"CXG0035","immature","Dichlorobenzophenone",0
"CXG0035","immature","DMBP",3.300395038
"CXG0035","immature","HCH.related",1.02307147990744
"CXG0035","immature","Heptachlor.related",0.343023446720483
"CXG0035","immature","MBP",0.391431057
"CXG0035","immature","MeO.B.CDE",0.103663551936059
"CXG0035","immature","MeO.BDE",-1.95093085272121
"CXG0035","immature","MeO.PBB",0.028649601
"CXG0035","immature","Methylenebistrichloroanisole",0.172277253286672
"CXG0035","immature","Methylsulfonyl.PCB",0
"CXG0035","immature","Mirex.related",0.072433049
"CXG0035","immature","PBB",0
"CXG0035","immature","PBDE",0.836833037110749
"CXG0035","immature","PBHD",0.354850668591733
"CXG0035","immature","Pyrrolidinecarbonyl.chloride",0.0631753986928456
"CXG0035","immature","TCPM",-0.750785992596161
"CXG0035","immature","TCPMOH",-0.341436856979944
"CXG0035","immature","Unknown",0.037288452
"CXG0035","immature","Unknown.2",0.285618302984945
"CXG0035","immature","Unknown.3",-4.1652483869892
"CXG0035","immature","Unknown.4",0
"CXG0035","immature","Unknown.5",0
"CXG0035","immature","Unknown.6",0
"CXG0035","immature","Unknown.7",0
"CXG0035","immature","Unknown.8",0.143268276321033
"CYM0100","immature","B.CDE",0.0497160537452441
"CYM0100","immature","Brominated.anisole",0
"CYM0100","immature","Brominated.indole",0.290822370184964
"CYM0100","immature","Chlordane.related",1.31147407980486
"CYM0100","immature","Chlorinated.benzene",-0.207990670786667
"CYM0100","immature","Chlorinated.styrene",0.091262862107212
"CYM0100","immature","Chlorobenzaldehyde",0
"CYM0100","immature","DDT.related",4.541700915
"CYM0100","immature","Dichlorobenzophenone",0
"CYM0100","immature","DMBP",4.334300183
"CYM0100","immature","HCH.related",1.09170814185844
"CYM0100","immature","Heptachlor.related",0.369458101819408
"CYM0100","immature","MBP",0.349589828
"CYM0100","immature","MeO.B.CDE",0.118711983388367
"CYM0100","immature","MeO.BDE",-1.85042854848982
"CYM0100","immature","MeO.PBB",0.05194585
"CYM0100","immature","Methylenebistrichloroanisole",0
"CYM0100","immature","Methylsulfonyl.PCB",0
"CYM0100","immature","Mirex.related",0.080169895
"CYM0100","immature","PBB",0
"CYM0100","immature","PBDE",1.01334519192623
"CYM0100","immature","PBHD",0.0374668119807384
"CYM0100","immature","Pyrrolidinecarbonyl.chloride",0
"CYM0100","immature","TCPM",-0.517879065905968
"CYM0100","immature","TCPMOH",-1.4618885103186
"CYM0100","immature","Unknown",0.563433595
"CYM0100","immature","Unknown.2",0
"CYM0100","immature","Unknown.3",-4.17703864669071
"CYM0100","immature","Unknown.4",0
"CYM0100","immature","Unknown.5",0.172969046363793
"CYM0100","immature","Unknown.6",0
"CYM0100","immature","Unknown.7",0
"CYM0100","immature","Unknown.8",0
"EPM0299","immature","B.CDE",0
"EPM0299","immature","Brominated.anisole",0.095552310280809
"EPM0299","immature","Brominated.indole",0.14210186839025
"EPM0299","immature","Chlordane.related",1.27075225791655
"EPM0299","immature","Chlorinated.benzene",0.293854038374617
"EPM0299","immature","Chlorinated.styrene",0
"EPM0299","immature","Chlorobenzaldehyde",0
"EPM0299","immature","DDT.related",4.449201267
"EPM0299","immature","Dichlorobenzophenone",0
"EPM0299","immature","DMBP",2.261243374
"EPM0299","immature","HCH.related",0.926393631238903
"EPM0299","immature","Heptachlor.related",0.368236133479592
"EPM0299","immature","MBP",0.480066417
"EPM0299","immature","MeO.B.CDE",0.0786980114107085
"EPM0299","immature","MeO.BDE",-2.18276636188349
"EPM0299","immature","MeO.PBB",0.039414507
"EPM0299","immature","Methylenebistrichloroanisole",0.132951562608342
"EPM0299","immature","Methylsulfonyl.PCB",0
"EPM0299","immature","Mirex.related",0.044697263
"EPM0299","immature","PBB",0
"EPM0299","immature","PBDE",0.925300570625567
"EPM0299","immature","PBHD",0.260597872209272
"EPM0299","immature","Pyrrolidinecarbonyl.chloride",0
"EPM0299","immature","TCPM",-0.993214625400264
"EPM0299","immature","TCPMOH",-0.711686333576021
"EPM0299","immature","Unknown",0.727843814
"EPM0299","immature","Unknown.2",0.232810062067772
"EPM0299","immature","Unknown.3",-3.94134785653839
"EPM0299","immature","Unknown.4",0
"EPM0299","immature","Unknown.5",0.160090727401683
"EPM0299","immature","Unknown.6",0
"EPM0299","immature","Unknown.7",0
"EPM0299","immature","Unknown.8",0
"JEA0085","mature","B.CDE",0.0922724986114498
"JEA0085","mature","Brominated.anisole",0.124293587927938
"JEA0085","mature","Brominated.indole",0
"JEA0085","mature","Chlordane.related",2.22468985995801
"JEA0085","mature","Chlorinated.benzene",-0.122871186493996
"JEA0085","mature","Chlorinated.styrene",0.105408742521671
"JEA0085","mature","Chlorobenzaldehyde",0.15678935231705
"JEA0085","mature","DDT.related",9.763773941
"JEA0085","mature","Dichlorobenzophenone",0
"JEA0085","mature","DMBP",3.164034654
"JEA0085","mature","HCH.related",1.28871288928139
"JEA0085","mature","Heptachlor.related",0.408079261908762
"JEA0085","mature","MBP",0.692915701
"JEA0085","mature","MeO.B.CDE",0.0791525552335488
"JEA0085","mature","MeO.BDE",-2.17785943101501
"JEA0085","mature","MeO.PBB",0.039004844
"JEA0085","mature","Methylenebistrichloroanisole",0.352600757231178
"JEA0085","mature","Methylsulfonyl.PCB",0.121974468639958
"JEA0085","mature","Mirex.related",0.555741471
"JEA0085","mature","PBB",0.139708908091073
"JEA0085","mature","PBDE",2.12941020449325
"JEA0085","mature","PBHD",0.0977979192007683
"JEA0085","mature","Pyrrolidinecarbonyl.chloride",0
"JEA0085","mature","TCPM",1.44218627875032
"JEA0085","mature","TCPMOH",-0.516133872623133
"JEA0085","mature","Unknown",0.29717074
"JEA0085","mature","Unknown.2",0.547236494579811
"JEA0085","mature","Unknown.3",-4.49784367416782
"JEA0085","mature","Unknown.4",0.06528755
"JEA0085","mature","Unknown.5",0
"JEA0085","mature","Unknown.6",0
"JEA0085","mature","Unknown.7",0
"JEA0085","mature","Unknown.8",0.187411928649166
"JXA0060","immature","B.CDE",0.0586771164935701
"JXA0060","immature","Brominated.anisole",0.0792504069390183
"JXA0060","immature","Brominated.indole",0
"JXA0060","immature","Chlordane.related",1.15639202911469
"JXA0060","immature","Chlorinated.benzene",-0.0312896295092421
"JXA0060","immature","Chlorinated.styrene",0
"JXA0060","immature","Chlorobenzaldehyde",0
"JXA0060","immature","DDT.related",5.61663149
"JXA0060","immature","Dichlorobenzophenone",0
"JXA0060","immature","DMBP",2.01083382
"JXA0060","immature","HCH.related",1.06879023152347
"JXA0060","immature","Heptachlor.related",0.272744644310388
"JXA0060","immature","MBP",0.25743091
"JXA0060","immature","MeO.B.CDE",0.0734547956228863
"JXA0060","immature","MeO.BDE",-2.51885179413797
"JXA0060","immature","MeO.PBB",0.008472595
"JXA0060","immature","Methylenebistrichloroanisole",0.320171527466138
"JXA0060","immature","Methylsulfonyl.PCB",0
"JXA0060","immature","Mirex.related",0.105530235
"JXA0060","immature","PBB",0.0408553056529993
"JXA0060","immature","PBDE",1.43202356090953
"JXA0060","immature","PBHD",0.41536089007031
"JXA0060","immature","Pyrrolidinecarbonyl.chloride",0
"JXA0060","immature","TCPM",0.202210779196879
"JXA0060","immature","TCPMOH",0.458971666552197
"JXA0060","immature","Unknown",0.487520766
"JXA0060","immature","Unknown.2",0.454898619474713
"JXA0060","immature","Unknown.3",-4.15432765111479
"JXA0060","immature","Unknown.4",0.006619044
"JXA0060","immature","Unknown.5",0
"JXA0060","immature","Unknown.6",0.13210769470398
"JXA0060","immature","Unknown.7",0
"JXA0060","immature","Unknown.8",0.243723919630388
"KAS0142","immature","B.CDE",0
"KAS0142","immature","Brominated.anisole",0.320523222247624
"KAS0142","immature","Brominated.indole",0
"KAS0142","immature","Chlordane.related",1.36758551213443
"KAS0142","immature","Chlorinated.benzene",1.03119450679027
"KAS0142","immature","Chlorinated.styrene",0
"KAS0142","immature","Chlorobenzaldehyde",0
"KAS0142","immature","DDT.related",4.979692636
"KAS0142","immature","Dichlorobenzophenone",0
"KAS0142","immature","DMBP",4.313236623
"KAS0142","immature","HCH.related",1.47607974005472
"KAS0142","immature","Heptachlor.related",0.24557216251033
"KAS0142","immature","MBP",0.085631383
"KAS0142","immature","MeO.B.CDE",0.138892015609249
"KAS0142","immature","MeO.BDE",-1.36298282665708
"KAS0142","immature","MeO.PBB",0.082145526
"KAS0142","immature","Methylenebistrichloroanisole",0.155641119245526
"KAS0142","immature","Methylsulfonyl.PCB",0
"KAS0142","immature","Mirex.related",0.081311454
"KAS0142","immature","PBB",0
"KAS0142","immature","PBDE",1.31306272622446
"KAS0142","immature","PBHD",0.519216833317257
"KAS0142","immature","Pyrrolidinecarbonyl.chloride",0
"KAS0142","immature","TCPM",-0.821598140465563
"KAS0142","immature","TCPMOH",-1.00639177880022
"KAS0142","immature","Unknown",0.142145914
"KAS0142","immature","Unknown.2",0.212507738682618
"KAS0142","immature","Unknown.3",-2.9578663430891
"KAS0142","immature","Unknown.4",0
"KAS0142","immature","Unknown.5",0.2986017280593
"KAS0142","immature","Unknown.6",0
"KAS0142","immature","Unknown.7",0
"KAS0142","immature","Unknown.8",0
"KSS0008","mature","B.CDE",0
"KSS0008","mature","Brominated.anisole",0.0622486947654326
"KSS0008","mature","Brominated.indole",0
"KSS0008","mature","Chlordane.related",1.59396814052226
"KSS0008","mature","Chlorinated.benzene",-0.144032358134846
"KSS0008","mature","Chlorinated.styrene",0.0774480148228475
"KSS0008","mature","Chlorobenzaldehyde",0
"KSS0008","mature","DDT.related",6.22274703
"KSS0008","mature","Dichlorobenzophenone",0
"KSS0008","mature","DMBP",3.547395342
"KSS0008","mature","HCH.related",1.04582243330309
"KSS0008","mature","Heptachlor.related",0.392467792309127
"KSS0008","mature","MBP",0.667140925
"KSS0008","mature","MeO.B.CDE",0.0854498332356477
"KSS0008","mature","MeO.BDE",-2.13285365180451
"KSS0008","mature","MeO.PBB",0.068108874
"KSS0008","mature","Methylenebistrichloroanisole",0.361090311418072
"KSS0008","mature","Methylsulfonyl.PCB",0.0773044888735447
"KSS0008","mature","Mirex.related",0.272688549
"KSS0008","mature","PBB",0.153225138276981
"KSS0008","mature","PBDE",1.92201455639649
"KSS0008","mature","PBHD",0.279414836757106
"KSS0008","mature","Pyrrolidinecarbonyl.chloride",0
"KSS0008","mature","TCPM",1.11991259029522
"KSS0008","mature","TCPMOH",0.936246293749756
"KSS0008","mature","Unknown",0.595424296
"KSS0008","mature","Unknown.2",0.537540469174182
"KSS0008","mature","Unknown.3",-5.16594089058309
"KSS0008","mature","Unknown.4",0.021678906
"KSS0008","mature","Unknown.5",0.189157037934093
"KSS0008","mature","Unknown.6",0.028975437874172
"KSS0008","mature","Unknown.7",0.0697790083047903
"KSS0008","mature","Unknown.8",0.356494408090786
"MCM0005","immature","B.CDE",0
"MCM0005","immature","Brominated.anisole",0.0555827941003329
"MCM0005","immature","Brominated.indole",0.0629285467812502
"MCM0005","immature","Chlordane.related",1.27788784797415
"MCM0005","immature","Chlorinated.benzene",0.580181969588142
"MCM0005","immature","Chlorinated.styrene",0
"MCM0005","immature","Chlorobenzaldehyde",0
"MCM0005","immature","DDT.related",6.737074763
"MCM0005","immature","Dichlorobenzophenone",0
"MCM0005","immature","DMBP",3.490779519
"MCM0005","immature","HCH.related",1.12809703793601
"MCM0005","immature","Heptachlor.related",0.340147404811502
"MCM0005","immature","MBP",0.581867414
"MCM0005","immature","MeO.B.CDE",0.090120269640076
"MCM0005","immature","MeO.BDE",-2.26317685896236
"MCM0005","immature","MeO.PBB",0.014068003
"MCM0005","immature","Methylenebistrichloroanisole",0.210143919731217
"MCM0005","immature","Methylsulfonyl.PCB",0
"MCM0005","immature","Mirex.related",0.062454976
"MCM0005","immature","PBB",0
"MCM0005","immature","PBDE",1.56816090756019
"MCM0005","immature","PBHD",0.262116945274433
"MCM0005","immature","Pyrrolidinecarbonyl.chloride",0
"MCM0005","immature","TCPM",0.038904770941104
"MCM0005","immature","TCPMOH",0.102674704092832
"MCM0005","immature","Unknown",0.86481049
"MCM0005","immature","Unknown.2",0.315279334876233
"MCM0005","immature","Unknown.3",-3.7644090147074
"MCM0005","immature","Unknown.4",0
"MCM0005","immature","Unknown.5",0.157724731732218
"MCM0005","immature","Unknown.6",0
"MCM0005","immature","Unknown.7",0
"MCM0005","immature","Unknown.8",0.192917391647306
"MKW0020","mature","B.CDE",0
"MKW0020","mature","Brominated.anisole",0.120520247261612
"MKW0020","mature","Brominated.indole",0.0965796458887689
"MKW0020","mature","Chlordane.related",1.10161978831174
"MKW0020","mature","Chlorinated.benzene",-0.268899965709608
"MKW0020","mature","Chlorinated.styrene",0.0990036413471747
"MKW0020","mature","Chlorobenzaldehyde",0
"MKW0020","mature","DDT.related",6.652703555
"MKW0020","mature","Dichlorobenzophenone",0
"MKW0020","mature","DMBP",2.977371764
"MKW0020","mature","HCH.related",1.04386674484821
"MKW0020","mature","Heptachlor.related",0.316823311957943
"MKW0020","mature","MBP",0.07190442
"MKW0020","mature","MeO.B.CDE",0.0920371392428078
"MKW0020","mature","MeO.BDE",-2.08999694243088
"MKW0020","mature","MeO.PBB",0.042159205
"MKW0020","mature","Methylenebistrichloroanisole",0.466480351140324
"MKW0020","mature","Methylsulfonyl.PCB",0.0775274403034177
"MKW0020","mature","Mirex.related",0.40050883
"MKW0020","mature","PBB",0.225412603906703
"MKW0020","mature","PBDE",1.96188972192629
"MKW0020","mature","PBHD",0.383634054797016
"MKW0020","mature","Pyrrolidinecarbonyl.chloride",0
"MKW0020","mature","TCPM",1.25805972758107
"MKW0020","mature","TCPMOH",-0.445268062651071
"MKW0020","mature","Unknown",0.347127454
"MKW0020","mature","Unknown.2",0.366250782934317
"MKW0020","mature","Unknown.3",-4.36445708708058
"MKW0020","mature","Unknown.4",0.069962583
"MKW0020","mature","Unknown.5",0
"MKW0020","mature","Unknown.6",0.05219372567656
"MKW0020","mature","Unknown.7",0
"MKW0020","mature","Unknown.8",0.521331022479959
"PBW0002","mature","B.CDE",0.0604446689129819
"PBW0002","mature","Brominated.anisole",0
"PBW0002","mature","Brominated.indole",0.0939512533178776
"PBW0002","mature","Chlordane.related",1.69004833333251
"PBW0002","mature","Chlorinated.benzene",-0.302053608699165
"PBW0002","mature","Chlorinated.styrene",0.0776205578439114
"PBW0002","mature","Chlorobenzaldehyde",0
"PBW0002","mature","DDT.related",8.16094703
"PBW0002","mature","Dichlorobenzophenone",0.497976052637072
"PBW0002","mature","DMBP",2.751541253
"PBW0002","mature","HCH.related",0.817237548085011
"PBW0002","mature","Heptachlor.related",0.366555681991154
"PBW0002","mature","MBP",0.69133815
"PBW0002","mature","MeO.B.CDE",0.0832584890566722
"PBW0002","mature","MeO.BDE",-2.04085467551897
"PBW0002","mature","MeO.PBB",0.072780206
"PBW0002","mature","Methylenebistrichloroanisole",0.446237221665786
"PBW0002","mature","Methylsulfonyl.PCB",0.0492620137631421
"PBW0002","mature","Mirex.related",0.513577337
"PBW0002","mature","PBB",0.202340401304337
"PBW0002","mature","PBDE",1.63074072770628
"PBW0002","mature","PBHD",0.2975599889098
"PBW0002","mature","Pyrrolidinecarbonyl.chloride",0
"PBW0002","mature","TCPM",1.14241199579844
"PBW0002","mature","TCPMOH",0.82568722070694
"PBW0002","mature","Unknown",0.231882742
"PBW0002","mature","Unknown.2",0.569190426834465
"PBW0002","mature","Unknown.3",-5.26137193218721
"PBW0002","mature","Unknown.4",0.016949389
"PBW0002","mature","Unknown.5",0
"PBW0002","mature","Unknown.6",0
"PBW0002","mature","Unknown.7",0.0394563176183485
"PBW0002","mature","Unknown.8",0.345306721625861
"SMH0021","mature","B.CDE",0
"SMH0021","mature","Brominated.anisole",0.0487852334216
"SMH0021","mature","Brominated.indole",0.0822386709522959
"SMH0021","mature","Chlordane.related",2.07141346162469
"SMH0021","mature","Chlorinated.benzene",-0.503482517152885
"SMH0021","mature","Chlorinated.styrene",0.210215284886708
"SMH0021","mature","Chlorobenzaldehyde",0
"SMH0021","mature","DDT.related",9.923422188
"SMH0021","mature","Dichlorobenzophenone",1.07519833147192
"SMH0021","mature","DMBP",2.982686262
"SMH0021","mature","HCH.related",1.25838795726914
"SMH0021","mature","Heptachlor.related",0.430591626718402
"SMH0021","mature","MBP",0.421764704
"SMH0021","mature","MeO.B.CDE",0.0584842286432847
"SMH0021","mature","MeO.BDE",-2.75125143000722
"SMH0021","mature","MeO.PBB",0.034275711
"SMH0021","mature","Methylenebistrichloroanisole",0.840785216925226
"SMH0021","mature","Methylsulfonyl.PCB",0.17886471703497
"SMH0021","mature","Mirex.related",0.896631354
"SMH0021","mature","PBB",0.397580423310806
"SMH0021","mature","PBDE",1.88256682643671
"SMH0021","mature","PBHD",0.318293020658638
"SMH0021","mature","Pyrrolidinecarbonyl.chloride",0
"SMH0021","mature","TCPM",2.29927610171601
"SMH0021","mature","TCPMOH",2.08273500514515
"SMH0021","mature","Unknown",0.460704748
"SMH0021","mature","Unknown.2",1.31761511793088
"SMH0021","mature","Unknown.3",-5.11462891105258
"SMH0021","mature","Unknown.4",0.065713941
"SMH0021","mature","Unknown.5",0
"SMH0021","mature","Unknown.6",0.0506890027520763
"SMH0021","mature","Unknown.7",0.179959931651465
"SMH0021","mature","Unknown.8",0.875692905075746
"TCL0090","mature","B.CDE",0
"TCL0090","mature","Brominated.anisole",0.116348816066172
"TCL0090","mature","Brominated.indole",0.0605437445158457
"TCL0090","mature","Chlordane.related",2.10867310932729
"TCL0090","mature","Chlorinated.benzene",0.05899294028904
"TCL0090","mature","Chlorinated.styrene",0
"TCL0090","mature","Chlorobenzaldehyde",0
"TCL0090","mature","DDT.related",8.502266022
"TCL0090","mature","Dichlorobenzophenone",0.748094455934543
"TCL0090","mature","DMBP",2.104975194
"TCL0090","mature","HCH.related",1.09033544929989
"TCL0090","mature","Heptachlor.related",0.561117467202724
"TCL0090","mature","MBP",0.87164808
"TCL0090","mature","MeO.B.CDE",0
"TCL0090","mature","MeO.BDE",-2.78397093454608
"TCL0090","mature","MeO.PBB",0.021893134
"TCL0090","mature","Methylenebistrichloroanisole",0.53247007427648
"TCL0090","mature","Methylsulfonyl.PCB",0.163620331866183
"TCL0090","mature","Mirex.related",0.659659205
"TCL0090","mature","PBB",0.454096961011632
"TCL0090","mature","PBDE",2.75536960606014
"TCL0090","mature","PBHD",0.295772753985218
"TCL0090","mature","Pyrrolidinecarbonyl.chloride",0
"TCL0090","mature","TCPM",1.92971948868
"TCL0090","mature","TCPMOH",1.93588958259997
"TCL0090","mature","Unknown",0.27715806
"TCL0090","mature","Unknown.2",0.884364224740011
"TCL0090","mature","Unknown.3",-4.13817570469016
"TCL0090","mature","Unknown.4",0.100569823
"TCL0090","mature","Unknown.5",0.141642108851852
"TCL0090","mature","Unknown.6",0.0494798746966886
"TCL0090","mature","Unknown.7",0.135860321654264
"TCL0090","mature","Unknown.8",0.764494155634953
